competition_name,season_name,match_id,match_date,player_id,player_name,team_id,team_name,position_name,total_events,shots,goals,xg,passes,completed_passes,pass_accuracy,progressive_passes,passes_into_final_third,key_passes,carries,progressive_carries,pressures,duels,duels_won,interceptions,clearances,blocks,dribbles,successful_dribbles,avg_x,avg_y,home_team,away_team,competition_stage,opponent_team,is_home_team,duel_success_rate,dribble_success_rate,xg_per_shot,xg_norm,shots_norm,goals_norm,key_passes_norm,progressive_passes_norm,passes_into_final_third_norm,progressive_carries_norm,pressures_norm,interceptions_norm,duel_success_rate_norm,dribble_success_rate_norm,total_events_norm,form_score,form_level
UEFA Euro,2024,3930159,2024-06-15,49007,Kwadwo Duah,773,Switzerland,Center Forward,76,3,1,0.5584159399999999,13,5,0.38461538461538464,4,1,0,6,1,16,5,1,0,0,0,0,0,78.616,35.38133333333332,Hungary,Switzerland,Group Stage,Hungary,0,0.2,0.0,0.18613864666666666,0.2864552239010606,0.3333333333333333,0.5,0.0,0.07017543859649122,0.030303030303030304,0.043478260869565216,0.43243243243243246,0.0,0.2,0.0,0.17899761336515513,22.157971717458597,low
UEFA Euro,2024,3930159,2024-06-15,45190,Dan Ndoye,773,Switzerland,Right Attacking Midfield,143,3,0,0.232590623,21,14,0.6666666666666666,4,0,1,33,6,20,4,2,1,0,1,6,4,73.48297872340433,58.093617021276586,Hungary,Switzerland,Group Stage,Hungary,0,0.5,0.6666666666666666,0.07753020766666667,0.11931392751566544,0.3333333333333333,0.0,0.14285714285714285,0.07017543859649122,0.0,0.2608695652173913,0.5405405405405406,0.125,0.5,0.6666666666666666,0.33890214797136037,18.402833226869813,low
UEFA Euro,2024,3930159,2024-06-15,12921,Barnabás Varga,916,Hungary,Center Forward,98,2,1,0.73425685,17,7,0.4117647058823529,5,2,0,7,0,20,6,1,0,1,2,1,0,73.00204081632654,50.64897959183675,Hungary,Switzerland,Group Stage,Switzerland,1,0.16666666666666666,0.0,0.367128425,0.3766577837438478,0.2222222222222222,0.5,0.0,0.08771929824561403,0.06060606060606061,0.0,0.5405405405405406,0.0,0.16666666666666666,0.0,0.2315035799522673,23.688259470674232,low
UEFA Euro,2024,3930159,2024-06-15,5544,Ricardo Iván Rodríguez Araya,773,Switzerland,Left Center Back,167,0,0,0.0,51,43,0.8431372549019608,11,8,1,44,9,7,5,1,0,3,0,1,0,57.03053892215569,16.173652694610787,Hungary,Switzerland,Group Stage,Hungary,0,0.2,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.19298245614035087,0.24242424242424243,0.391304347826087,0.1891891891891892,0.0,0.2,0.0,0.39618138424821003,9.446897930650792,low
UEFA Euro,2024,3930159,2024-06-15,30401,Ruben Vargas,773,Switzerland,Left Attacking Midfield,112,2,0,0.57146795,28,22,0.7857142857142857,5,2,1,25,1,12,1,0,1,0,3,1,0,83.01801801801807,33.394594594594594,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.285733975,0.2931506209681803,0.2222222222222222,0.0,0.14285714285714285,0.08771929824561403,0.06060606060606061,0.043478260869565216,0.32432432432432434,0.125,0.0,0.0,0.2649164677804296,14.629230169062744,low
UEFA Euro,2024,3930159,2024-06-15,8509,Willi Orban,916,Hungary,Center Back,168,1,0,0.14360759,56,51,0.9107142857142857,21,4,2,36,2,10,4,1,3,3,3,1,1,39.88035714285711,50.06011904761904,Hungary,Switzerland,Group Stage,Switzerland,1,0.25,1.0,0.14360759,0.07366756820613272,0.1111111111111111,0.0,0.2857142857142857,0.3684210526315789,0.12121212121212122,0.08695652173913043,0.2702702702702703,0.375,0.25,1.0,0.39856801909307876,18.647217831048074,low
UEFA Euro,2024,3930159,2024-06-15,7796,Silvan Widmer,773,Switzerland,Right Wing Back,98,0,0,0.0,32,27,0.84375,6,0,0,16,0,13,1,0,1,1,2,1,0,70.96666666666665,73.0885416666667,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.35135135135135137,0.125,0.0,0.0,0.2315035799522673,3.309388335704125,low
UEFA Euro,2024,3930159,2024-06-15,5550,Yann Sommer,773,Switzerland,Goalkeeper,82,0,0,0.0,30,23,0.7666666666666667,20,2,0,21,2,0,0,0,0,0,0,0,0,11.424390243902437,40.157317073170724,Hungary,Switzerland,Group Stage,Hungary,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3508771929824561,0.06060606060606061,0.08695652173913043,0.0,0.0,0.0,0.0,0.19331742243436753,4.507454406767907,low
UEFA Euro,2024,3930159,2024-06-15,5549,Manuel Obafemi Akanji,773,Switzerland,Center Back,183,0,0,0.0,63,57,0.9047619047619048,24,8,0,50,7,6,3,1,3,5,1,0,0,47.54863387978144,34.14371584699454,Hungary,Switzerland,Group Stage,Hungary,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.24242424242424243,0.30434782608695654,0.16216216216216217,0.375,0.3333333333333333,0.0,0.4343675417661098,11.501574280750482,low
UEFA Euro,2024,3930159,2024-06-15,8524,Péter Gulácsi,916,Hungary,Goalkeeper,93,0,0,0.0,30,27,0.9,11,0,0,20,0,0,0,0,0,1,0,0,0,11.561290322580648,41.23548387096775,Hungary,Switzerland,Group Stage,Switzerland,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19298245614035087,0.0,0.0,0.0,0.0,0.0,0.0,0.21957040572792363,1.9298245614035086,low
